ip,timestamp,timezone,request,slash,http,status
103.44.12.218,19/Mar/2021:14:27:44,+0000,POST,/exam/168/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:44,+0000,GET,/exam/login/?next=/exam/167/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:44,+0000,POST,/exam/168/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:45,+0000,POST,/exam/168/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:45,+0000,POST,/exam/169/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:45,+0000,POST,/exam/164/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:45,+0000,POST,/exam/165/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:45,+0000,POST,/exam/168/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:45,+0000,POST,/exam/163/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:45,+0000,POST,/exam/163/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:45,+0000,POST,/exam/166/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:45,+0000,POST,/exam/166/check/1/6/16/16/,HTTP/1.1,404
103.44.12.218,19/Mar/2021:14:27:45,+0000,POST,/exam/164/check/1/6/16/16/,HTTP/1.1,302
103.44.12.218,19/Mar/2021:14:27:45,+0000,GET,/exam/login/?next=/exam/164/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:45,+0000,POST,/exam/168/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:46,+0000,POST,/exam/168/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:46,+0000,POST,/exam/164/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:46,+0000,POST,/exam/169/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:46,+0000,POST,/exam/166/check/1/6/16/16/,HTTP/1.1,403
103.44.12.218,19/Mar/2021:14:27:46,+0000,POST,/exam/167/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:46,+0000,POST,/exam/170/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:46,+0000,POST,/exam/165/check/1/6/16/16/,HTTP/1.1,404
103.44.12.218,19/Mar/2021:14:27:46,+0000,POST,/exam/167/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:47,+0000,POST,/exam/163/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:47,+0000,POST,/exam/161/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:47,+0000,POST,/exam/170/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:47,+0000,POST,/exam/169/check/1/6/16/16/,HTTP/1.1,302
103.44.12.218,19/Mar/2021:14:27:47,+0000,GET,/exam/login/?next=/exam/169/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:47,+0000,POST,/exam/169/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:47,+0000,POST,/exam/167/check/1/6/16/16/,HTTP/1.1,404
103.44.12.218,19/Mar/2021:14:27:47,+0000,POST,/exam/173/check/1/6/16/16/,HTTP/1.1,302
103.44.12.218,19/Mar/2021:14:27:47,+0000,GET,/exam/login/?next=/exam/173/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:47,+0000,POST,/exam/167/check/1/6/16/16/,HTTP/1.1,404
103.44.12.218,19/Mar/2021:14:27:47,+0000,POST,/exam/165/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:47,+0000,POST,/exam/167/check/1/6/16/16/,HTTP/1.1,404
103.44.12.218,19/Mar/2021:14:27:48,+0000,HEAD,/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:48,+0000,POST,/exam/166/check/1/6/16/16/,HTTP/1.1,403
103.44.12.218,19/Mar/2021:14:27:48,+0000,POST,/exam/165/check/1/6/16/16/,HTTP/1.1,403
103.44.12.218,19/Mar/2021:14:27:48,+0000,POST,/exam/165/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:48,+0000,POST,/exam/169/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:48,+0000,POST,/exam/173/check/1/6/16/16/,HTTP/1.1,302
103.44.12.218,19/Mar/2021:14:27:48,+0000,GET,/exam/login/?next=/exam/173/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:48,+0000,POST,/exam/166/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:48,+0000,POST,/exam/168/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:48,+0000,POST,/exam/169/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:48,+0000,POST,/exam/164/check/1/6/16/16/,HTTP/1.1,404
103.44.12.218,19/Mar/2021:14:27:48,+0000,POST,/exam/164/check/1/6/16/16/,HTTP/1.1,302
103.44.12.218,19/Mar/2021:14:27:49,+0000,GET,/exam/login/?next=/exam/164/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:49,+0000,POST,/exam/167/check/1/6/16/16/,HTTP/1.1,404
103.44.12.218,19/Mar/2021:14:27:49,+0000,POST,/exam/165/check/1/6/16/16/,HTTP/1.1,404
103.44.12.218,19/Mar/2021:14:27:50,+0000,POST,/exam/164/check/1/6/16/16/,HTTP/1.1,302
103.44.12.218,19/Mar/2021:14:27:50,+0000,POST,/exam/164/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:50,+0000,GET,/exam/login/?next=/exam/164/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:50,+0000,POST,/exam/164/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:50,+0000,POST,/exam/169/check/1/6/16/16/,HTTP/1.1,200
103.44.12.218,19/Mar/2021:14:27:50,+0000,POST,/exam/168/check/1/6/16/16/,HTTP/1.1,404
103.44.12.218,19/Mar/2021:14:27:50,+0000,POST,/exam/166/check/1/6/16/16/,HTTP/1.1,403
103.44.12.218,19/Mar/2021:14:27:50,+0000,POST,/exam/167/check/1/6/16/16/,HTTP/1.1,404
103.44.12.218,19/Mar/2021:14:27:52,+0000,POST,/exam/163/check/1/6/16/16/,HTTP/1.1,404
103.44.12.218,19/Mar/2021:14:27:52,+0000,POST,/exam/164/check/1/6/16/16/,HTTP/1.1,403
